#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
# Events ; REMOVE HASH FOR ACTIVE EVENTS AND OPTIONS;;;;;;;;;;;;;x
##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;##################################################;x
#ANG;Angola;;;;;;;;;;;;;x
EVTOPTB6123;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#DRC;Democratic Republic of Congo;;;;;;;;;;;;;x
EVTNAME6130;The Congolese Independence;;;;;;;;;;;;;x
EVTDESC6130;From the demands of congolese intellectuals to the recent popular uprisings, the nationalist sentiment in Congo is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Congo is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6130;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6130;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6130;Congo is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6131;The Congolese Independence;;;;;;;;;;;;;x
EVTDESC6131;The congolese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6131;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6131;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6132;The Congolese War;;;;;;;;;;;;;x
EVTDESC6132;Armed groups of rebel militias continue to terrorize the population in Congo. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Congo. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6132;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6132;Crush the rebel scum! Congo is ours!;;;;;;;;;;;;;x
EVTNAME6133;The Congolese War;;;;;;;;;;;;;x
EVTDESC6133;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6133;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6133;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#EAF;East African Republic;;;;;;;;;;;;;x
#EQG;Equatorial Guinea;;;;;;;;;;;;;x
EVTNAME6150;The Equatorial Guinean Independence;;;;;;;;;;;;;x
EVTDESC6150;From the demands of equatorial guinean intellectuals to the recent popular uprisings, the nationalist sentiment in Equatorial Guinea is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Equatorial Guinea is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6150;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6150;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6150;Equatorial Guinea is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6151;The Equatorial Guinean Independence;;;;;;;;;;;;;x
EVTDESC6151;The equatorial guinean government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6151;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6151;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6152;The Equatorial Guinean War;;;;;;;;;;;;;x
EVTDESC6152;Armed groups of rebel militias continue to terrorize the population in Equatorial Guinea. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Equatorial Guinea. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6152;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6152;Crush the rebel scum! Equatorial Guinea is ours!;;;;;;;;;;;;;x
EVTNAME6153;The Equatorial Guinean War;;;;;;;;;;;;;x
EVTDESC6153;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6153;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6153;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#ERI;Eritrea;;;;;;;;;;;;;x
EVTNAME6160;The Eritrean Independence;;;;;;;;;;;;;x
EVTDESC6160;From the demands of eritrean intellectuals to the recent popular uprisings, the nationalist sentiment in Eritrea is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Eritrea is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6160;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6160;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6160;Eritrea is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6161;The Eritrean Independence;;;;;;;;;;;;;x
EVTDESC6161;The eritrean government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6161;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6161;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6162;The Eritrean War;;;;;;;;;;;;;x
EVTDESC6162;Armed groups of rebel militias continue to terrorize the population in Eritrea. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Eritrea. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6162;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6162;Crush the rebel scum! Eritrea is ours!;;;;;;;;;;;;;x
EVTNAME6163;The Eritrean War;;;;;;;;;;;;;x
EVTDESC6163;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6163;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6163;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#ETH;Ethiopia;;;;;;;;;;;;;x
EVTNAME6170;The Ethiopian Independence;;;;;;;;;;;;;x
EVTDESC6170;From the demands of ethiopian intellectuals to the recent popular uprisings, the nationalist sentiment in Ethiopia is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Ethiopia is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6170;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6170;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6170;Ethiopia is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6171;The Ethiopian Independence;;;;;;;;;;;;;x
EVTDESC6171;The ethiopian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6171;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6171;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6172;The Ethiopian War;;;;;;;;;;;;;x
EVTDESC6172;Armed groups of rebel militias continue to terrorize the population in Ethiopia. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Ethiopia. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6172;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6172;Crush the rebel scum! Ethiopia is ours!;;;;;;;;;;;;;x
EVTNAME6173;The Ethiopian War;;;;;;;;;;;;;x
EVTDESC6173;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6173;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6173;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#FSU;French Sudan (Mali);;;;;;;;;;;;;x
#GAB;Gabon;;;;;;;;;;;;;x
EVTNAME6190;The Gabonese Independence;;;;;;;;;;;;;x
EVTDESC6190;From the demands of gabonese intellectuals to the recent popular uprisings, the nationalist sentiment in Gabon is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Gabon is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6190;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6190;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6190;Gabon is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6191;The Gabonese Independence;;;;;;;;;;;;;x
EVTDESC6191;The gabonese government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6191;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6191;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6192;The Gabonese War;;;;;;;;;;;;;x
EVTDESC6192;Armed groups of rebel militias continue to terrorize the population in Gabon. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Gabon. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6192;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6192;Crush the rebel scum! Gabon is ours!;;;;;;;;;;;;;x
EVTNAME6193;The Gabonese War;;;;;;;;;;;;;x
EVTDESC6193;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6193;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6193;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#GAM;Gambia;;;;;;;;;;;;;x
EVTNAME6200;The Gambian Independence;;;;;;;;;;;;;x
EVTDESC6200;From the demands of gambian intellectuals to the recent popular uprisings, the nationalist sentiment in Gambia is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Gambia is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6200;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6200;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6200;Gambia is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6201;The Gambian Independence;;;;;;;;;;;;;x
EVTDESC6201;The gambian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6201;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6201;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6202;The Gambian War;;;;;;;;;;;;;x
EVTDESC6202;Armed groups of rebel militias continue to terrorize the population in Gambia. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Gambia. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6202;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6202;Crush the rebel scum! Gambia is ours!;;;;;;;;;;;;;x
EVTNAME6203;The Gambian War;;;;;;;;;;;;;x
EVTDESC6203;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6203;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6203;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#GHN;Ghana;;;;;;;;;;;;;x
EVTNAME6210;The Ghanaian Independence;;;;;;;;;;;;;x
EVTDESC6210;From the demands of ghanaian intellectuals to the recent popular uprisings, the nationalist sentiment in Ghana is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Ghana is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6210;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6210;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6210;Ghana is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6211;The Ghanaian Independence;;;;;;;;;;;;;x
EVTDESC6211;The ghanaian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6211;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6211;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6212;The Ghanaian War;;;;;;;;;;;;;x
EVTDESC6212;Armed groups of rebel militias continue to terrorize the population in Ghana. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Ghana. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6212;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6212;Crush the rebel scum! Ghana is ours!;;;;;;;;;;;;;x
EVTNAME6213;The Ghanaian War;;;;;;;;;;;;;x
EVTDESC6213;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6213;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6213;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#GUB;Guinea-Bissau;;;;;;;;;;;;;x
EVTNAME6220;The Bissau-Guinean Independence;;;;;;;;;;;;;x
EVTDESC6220;From the demands of bissau-guinean intellectuals to the recent popular uprisings, the nationalist sentiment in Guinea-Bissau is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Guinea-Bissau is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6220;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6220;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6220;Guinea-Bissau is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6221;The Bissau-Guinean Independence;;;;;;;;;;;;;x
EVTDESC6221;The bissau-guinean government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6221;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6221;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6222;The Bissau-Guinean War;;;;;;;;;;;;;x
EVTDESC6222;Armed groups of rebel militias continue to terrorize the population in Guinea-Bissau. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Guinea-Bissau. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6222;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6222;Crush the rebel scum! Guinea-Bissau is ours!;;;;;;;;;;;;;x
EVTNAME6223;The Bissau-Guinean War;;;;;;;;;;;;;x
EVTDESC6223;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6223;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6223;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#GIN;Guinea;;;;;;;;;;;;;x
EVTNAME6230;The Guinean Independence;;;;;;;;;;;;;x
EVTDESC6230;From the demands of guinean intellectuals to the recent popular uprisings, the nationalist sentiment in Guinea is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Guinea is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6230;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6230;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6230;Guinea is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6231;The Guinean Independence;;;;;;;;;;;;;x
EVTDESC6231;The guinean government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6231;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6231;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6232;The Guinean War;;;;;;;;;;;;;x
EVTDESC6232;Armed groups of rebel militias continue to terrorize the population in Guinea. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Guinea. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6232;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6232;Crush the rebel scum! Guinea is ours!;;;;;;;;;;;;;x
EVTNAME6233;The Guinean War;;;;;;;;;;;;;x
EVTDESC6233;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6233;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6233;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#KAT;Katsina;;;;;;;;;;;;;x
#KEN;Kenya;;;;;;;;;;;;;x
EVTNAME6250;The Kenyan Independence;;;;;;;;;;;;;x
EVTDESC6250;From the demands of kenyan intellectuals to the recent popular uprisings, the nationalist sentiment in Kenya is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Kenya is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6250;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6250;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6250;Kenya is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6251;The Kenyan Independence;;;;;;;;;;;;;x
EVTDESC6251;The kenyan government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6251;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6251;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6252;The Kenyan War;;;;;;;;;;;;;x
EVTDESC6252;Armed groups of rebel militias continue to terrorize the population in Kenya. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Kenya. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6252;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6252;Crush the rebel scum! Kenya is ours!;;;;;;;;;;;;;x
EVTNAME6253;The Kenyan War;;;;;;;;;;;;;x
EVTDESC6253;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6253;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6253;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#KON;Zaire;;;;;;;;;;;;;x
#LBY;Libya;;;;;;;;;;;;;x
EVTNAME6270;The Libyan Independence;;;;;;;;;;;;;x
EVTDESC6270;From the demands of libyan intellectuals to the recent popular uprisings, the nationalist sentiment in Libya is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Libya is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6270;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6270;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6270;Libya is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6271;The Libyan Independence;;;;;;;;;;;;;x
EVTDESC6271;The libyan government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6271;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6271;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6272;The Libyan War;;;;;;;;;;;;;x
EVTDESC6272;Armed groups of rebel militias continue to terrorize the population in Libya. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Libya. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6272;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6272;Crush the rebel scum! Libya is ours!;;;;;;;;;;;;;x
EVTNAME6273;The Libyan War;;;;;;;;;;;;;x
EVTDESC6273;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6273;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6273;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#LIB;Liberia;;;;;;;;;;;;;x
EVTNAME6280;The Liberian Independence;;;;;;;;;;;;;x
EVTDESC6280;From the demands of liberian intellectuals to the recent popular uprisings, the nationalist sentiment in Liberia is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Liberia is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6280;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6280;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6280;Liberia is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6281;The Liberian Independence;;;;;;;;;;;;;x
EVTDESC6281;The liberian government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6281;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6281;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6282;The Liberian War;;;;;;;;;;;;;x
EVTDESC6282;Armed groups of rebel militias continue to terrorize the population in Liberia. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Liberia. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6282;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6282;Crush the rebel scum! Liberia is ours!;;;;;;;;;;;;;x
EVTNAME6283;The Liberian War;;;;;;;;;;;;;x
EVTDESC6283;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6283;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6283;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#LST;Lesotho;;;;;;;;;;;;;x
EVTNAME6290;The Basotho Independence;;;;;;;;;;;;;x
EVTDESC6290;From the demands of basotho intellectuals to the recent popular uprisings, the nationalist sentiment in Lesotho is now widespread and irreversible. The United Nations recognize the right of self determination of all peoples and the legitimacy of our rule in Lesotho is hardly defensible. What shall be our position?;;;;;;;;;;;;;x
EVTOPTA6290;Grant immediate independence ensuring good diplomatic relations.;;;;;;;;;;;;;x
EVTOPTB6290;Allow self-rule while keeping control over foreign affairs.;;;;;;;;;;;;;x
EVTOPTC6290;Lesotho is an integral part of our territory and forever will be.;;;;;;;;;;;;;x
EVTNAME6291;The Basotho Independence;;;;;;;;;;;;;x
EVTDESC6291;The basotho government has been so far complacent with our rule, but after a recent wave of nationalist and pan-african sentiments the status quo is no longer sustainable. Their leaders wish to negotiate a peaceful transition to full indepence, but they are willing to fight for it if necessary.;;;;;;;;;;;;;x
EVTOPTA6291;This was inevitable, grant them independence.;;;;;;;;;;;;;x
EVTOPTB6291;Insubordination will not be tolerated.;;;;;;;;;;;;;x
EVTNAME6292;The Basotho War;;;;;;;;;;;;;x
EVTDESC6292;Armed groups of rebel militias continue to terrorize the population in Lesotho. Our position has always been to keep the integrity of the national territory despite some internal opposition, but international pressure has increased with more and more countries supporting the immediate independence of Lesotho. Now the choice between fighting for a territory rightfuly ours at great cost or to give in and save face is yours.;;;;;;;;;;;;;x
EVTOPTA6292;Enough is enough. Accept defeat with dignity.;;;;;;;;;;;;;x
EVTOPTB6292;Crush the rebel scum! Lesotho is ours!;;;;;;;;;;;;;x
EVTNAME6293;The Basotho War;;;;;;;;;;;;;x
EVTDESC6293;Despite our best efforts, the war rages on. The insurgent government has managed to hold its territory and more armed rebel militias are ready to fight. Through backdoor diplomacy we know the insurgents are willing to negotiate, shall we take the opportunity and cease hostilities or take this war to the bitter end?;;;;;;;;;;;;;x
EVTOPTA6293;Negotiate while we have the upper hand.;;;;;;;;;;;;;x
EVTOPTB6293;We don't negotiate with terrorists.;;;;;;;;;;;;;x
#MAD;Madagascar;;;;;;;;;;;;;x
